method,seed,outer_fold,params,inner_mrr
A6_gbm_fusion,0,1,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4327
A6_gbm_fusion,0,1,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4534
A6_gbm_fusion,0,1,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4426
A6_gbm_fusion,0,1,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4436
A6_gbm_fusion,0,1,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4318
A6_gbm_fusion,0,1,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.3793
A6_gbm_fusion,0,1,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4499
A6_gbm_fusion,0,1,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.4295
A6_gbm_fusion,0,1,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.3368
A6_gbm_fusion,0,2,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4560
A6_gbm_fusion,0,2,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.05}",0.4468
A6_gbm_fusion,0,2,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.1}",0.4637
A6_gbm_fusion,0,2,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.01}",0.4472
A6_gbm_fusion,0,2,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.05}",0.4720
A6_gbm_fusion,0,2,"{'n_estimators': 100, 'max_depth': 3, 'lr': 0.1}",0.4803
A6_gbm_fusion,0,2,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.01}",0.4430
A6_gbm_fusion,0,2,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.05}",0.4606
A6_gbm_fusion,0,2,"{'n_estimators': 100, 'max_depth': 5, 'lr': 0.1}",0.4082
A6_gbm_fusion,0,2,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.01}",0.4564
A6_gbm_fusion,0,2,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.05}",0.4756
A6_gbm_fusion,0,2,"{'n_estimators': 300, 'max_depth': 2, 'lr': 0.1}",0.4553
A6_gbm_fusion,0,2,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.01}",0.4640
A6_gbm_fusion,0,2,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.05}",0.4654
A6_gbm_fusion,0,2,"{'n_estimators': 300, 'max_depth': 3, 'lr': 0.1}",0.4456
A6_gbm_fusion,0,2,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.01}",0.4570
A6_gbm_fusion,0,2,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.05}",0.4074
A6_gbm_fusion,0,2,"{'n_estimators': 300, 'max_depth': 5, 'lr': 0.1}",0.3567
A6_gbm_fusion,0,3,"{'n_estimators': 100, 'max_depth': 2, 'lr': 0.01}",0.4701
