p_idx,product,q_idx,query,len_Ap,len_Aq,contained,subseq,prefix
141,In The Groove,115,Jaguar For Men Jaguar,5,10,1,0,0
48,Vicaro,116,Jaguar Vision by Jaguar,3,10,1,1,1
10,Aquazone,117,Jorge di Profondo by Maison Alhambra,5,9,1,0,0
127,eramusk,118,Kirkè Tiziana Terenzi,5,7,1,1,1
1,Verve Vale,119,L'Immensité by Louis Vuitton,5,8,1,0,0
282,Accadiantaly,120,La Nuit Trésor — Lancôme,5,10,1,0,0
240,Heather Sweet,121,La Vie Est Belle — Lancôme,5,10,0,0,0
163,Fast and Furious,122,Lacoste Pour Femme Légère Lacoste Fragrances,5,7,1,1,1
6,Superclass Woman,123,Lady Million by Rabanne,5,9,1,1,1
277,Delight Blue,124,Lady Million Fabulous — Rabanne,5,9,1,1,1
99,Tow Combination,125,Le Jour se Lève Louis Vuitton,5,5,0,0,0
257,Baorela,126,Le Parfum in White — Elie Saab,5,10,1,0,0
36,Maxima Gold,127,Legend by Montblanc,5,10,1,0,0
193,Groovy Glam,128,Les Sables Roses Louis Vuitton,5,10,1,0,0
313,English M,129,London for Men — Burberry,5,10,1,0,0
79,Silk Blossom,130,London Playboy for men,5,10,1,1,1
254,Just A Girl,131,L’eau d’Issey — Issey Miyake,5,6,1,1,1
291,Dwelling,132,L’Homme — Yves Saint Laurent,5,9,1,0,0
95,Mellifluous,133,Magnificently Dubai Zara,5,7,1,0,0
258,moonlit meadow,134,Marfa — Memo Paris,5,10,1,0,0
62,How Deep,135,Miracle Lancôme for women,5,8,1,1,1
198,Scent Vintage,136,Miss Dior Blooming Bouquet Dior,5,8,1,1,1
200,Bright Sunshine,137,Miss Dior Rose N’Roses Dior,5,7,1,1,0
246,Nozomi,138,Miu Miu — Miu Miu,5,9,1,1,1
77,Dark Ages,139,Mr. Burberry Burberry for men,5,9,1,1,1
284,Sauvage Classy,140,My Way — Giorgio Armani,5,5,1,1,1
140,Eternal Sunset,141,Nautica Voyage Nautica for men,5,8,1,1,1
303,Savile Row,142,Noir Anthracite — Tom Ford,5,7,1,0,0
26,Golden Secret,143,Noir by Tom Ford,6,10,1,1,1
